"area_council","livestock_id","totallivestock"
"north east malekula","Horses",94
"south malekula","Goats",158
"north east malekula","Pigs",1456
"north east malekula","Sheep",11
"vermali","Pigs",790
"north tongoa","Cattle",1236
"north tongoa","Chickens",5018
"north tongoa","Goats",516
"north tongoa","Other 1",2
"north tongoa","Pigs",1932
"tongariki","Cattle",256
"tongariki","Chickens",4316
"tongariki","Goats",1096
"makimae","Cattle",668
"makimae","Goats",545
"makimae","Chickens",4294
"makimae","Ducks",38
"makimae","Horses",1
"makimae","Pigs",1297
"emau","Cattle",20
"emau","Chickens",1654
"emau","Ducks",19
"emau","Goats",373
"emau","Pigs",313
"nguna","Cattle",293
"nguna","Chickens",3128
"nguna","Ducks",2
"nguna","Goats",250
"nguna","Pigs",370
"aniwa","Cattle",3
"aniwa","Chickens",1308
"aniwa","Ducks",10
"aniwa","Goats",26
"aniwa","Pigs",492
"futuna","Chickens",1212
"futuna","Pigs",146
"aneityum","Cattle",257
"aneityum","Chickens",2241
"aneityum","Ducks",98
"aneityum","Goats",152
"aneityum","Horses",1
"aneityum","Pigs",514
"ureparapara","Cattle",67
"ureparapara","Chickens",900
"ureparapara","Ducks",23
"ureparapara","Goats",3
"ureparapara","Pigs",147
"torres","Chickens",2488
"torres","Pigs",307
"torres","Cattle",63
"merelava","Chickens",1464
"merelava","Pigs",408
"gaua","Cattle",1350
"gaua","Chickens",7302
"gaua","Ducks",5
"gaua","Goats",24
"gaua","Pigs",1477
"mota","Cattle",10
"mota","Chickens",1325
"mota","Pigs",103
"east malo","Cattle",1802
"east malo","Chickens",7746
"east malo","Ducks",50
"east malo","Goats",448
"east malo","Horses",1
"east malo","Pigs",386
"west malo","Cattle",890
"west malo","Chickens",9177
"west malo","Ducks",140
"west malo","Goats",349
"west malo","Other 1",50
"west malo","Pigs",1527
"motalava","Cattle",87
"motalava","Chickens",1692
"motalava","Ducks",2
"motalava","Goats",1
"motalava","Pigs",311
"central pentecost 1","Cattle",1168
"central pentecost 1","Chickens",7050
"central pentecost 1","Ducks",35
"central pentecost 1","Goats",35
"central pentecost 1","Horses",2
"central pentecost 1","Pigs",1967
"central pentecost 2","Cattle",1348
"central pentecost 2","Chickens",11313
"central pentecost 2","Ducks",31
"central pentecost 2","Goats",8
"central pentecost 2","Horses",66
"central pentecost 2","Pigs",3756
"north pentecost","Cattle",1169
"north pentecost","Chickens",18211
"north pentecost","Ducks",20
"north pentecost","Goats",24
"north pentecost","Pigs",4120
"south pentecost","Cattle",1788
"south pentecost","Chickens",9704
"south pentecost","Ducks",6
"south pentecost","Goats",12
"south pentecost","Horses",5
"south pentecost","Pigs",2231
"south pentecost","Sheep",12
"east ambae","Cattle",486
"east ambae","Chickens",10133
"east ambae","Ducks",112
"east ambae","Pigs",783
"north ambae","Cattle",394
"north ambae","Chickens",17322
"north ambae","Ducks",22
"north ambae","Goats",11
"north ambae","Horses",1
"north ambae","Pigs",743
"south ambae","Cattle",548
"south ambae","Chickens",4803
"south ambae","Goats",2
"south ambae","Pigs",426
"west ambae","Cattle",646
"west ambae","Chickens",21694
"west ambae","Ducks",18
"west ambae","Goats",3
"west ambae","Horses",26
"west ambae","Pigs",644
"north maewo","Cattle",895
"north maewo","Chickens",7975
"north maewo","Ducks",108
"north maewo","Goats",182
"north maewo","Horses",3
"north maewo","Pigs",1901
"south maewo","Cattle",541
"south maewo","Chickens",4854
"south maewo","Ducks",5
"south maewo","Goats",6
"south maewo","Pigs",682
"canal - fanafo","Chickens",11008
"canal - fanafo","Ducks",123
"canal - fanafo","Pigs",951
"north ambrym","Cattle",1207
"north ambrym","Chickens",11118
"north ambrym","Goats",4
"north ambrym","Horses",20
"north ambrym","Pigs",1997
"south east ambrym","Cattle",808
"south east ambrym","Chickens",7514
"south east ambrym","Goats",63
"south east ambrym","Horses",1
"south east ambrym","Pigs",1761
"west ambrym","Cattle",1402
"west ambrym","Chickens",8724
"west ambrym","Ducks",31
"west ambrym","Goats",59
"west ambrym","Horses",3
"west ambrym","Pigs",3091
