"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,0,0,0
"2","Malampa","north ambrym",2,0,0,0,0
"3","Malampa","north east malekula",2,0,0,0,2
"4","Malampa","north west malekula",2,0,0,0,0
"5","Malampa","paama",2,0,0,0,0
"6","Malampa","south east ambrym",2,0,0,0,0
"7","Malampa","south east malekula",2,0,0,0,1
"8","Malampa","south malekula",2,0,0,0,2
"9","Malampa","south west malekula",2,0,0,0,0
"10","Malampa","west ambrym",2,0,0,0,2
"11","Penama","central pentecost 1",2,0,0,0,0
"12","Penama","central pentecost 2",2,0,0,0,0
"13","Penama","east ambae",2,0,0,0,0
"14","Penama","north ambae",2,0,0,0,0
"15","Penama","north maewo",2,0,0,0,0
"16","Penama","north pentecost",2,0,0,0,1
"17","Penama","south ambae",2,0,0,0,0
"18","Penama","south pentecost",2,0,0,0,0
"19","Sanma","canal - fanafo",2,0,0,0,1
"20","Sanma","east malo",2,0,0,0,0
"21","Sanma","east santo",2,0,0,0,0
"22","Sanma","luganville",1,0,0,0,5
"23","Sanma","south east santo",2,0,0,0,1
"24","Sanma","south santo",2,0,0,0,2
"25","Sanma","west santo",2,0,0,0,0
"26","Shefa","emau",2,0,0,0,1
"27","Shefa","erakor",2,0,0,0,3
"28","Shefa","eratap",2,0,0,0,0
"29","Shefa","eton",2,0,0,0,0
"30","Shefa","ifira",2,0,0,0,0
"31","Shefa","makimae",2,0,0,0,0
"32","Shefa","malorua",2,0,0,0,0
"33","Shefa","mele",2,0,0,0,0
"34","Shefa","nguna",2,0,0,0,1
"35","Shefa","north efate",2,0,0,0,1
"36","Shefa","north tongoa",2,0,0,0,0
"37","Shefa","port vila",1,0,0,0,8
"38","Shefa","tongariki",2,0,0,0,0
"39","Shefa","varisu",2,0,0,0,0
"40","Shefa","vermali",2,0,0,0,0
"41","Tafea","aneityum",2,0,0,0,0
"42","Tafea","middle bush tanna",2,0,0,0,1
"43","Tafea","north erromango",2,0,0,0,0
"44","Tafea","north tanna",2,0,0,0,0
"45","Tafea","south tanna",2,0,0,0,0
"46","Tafea","south west tanna",2,0,0,0,1
"47","Tafea","west tanna",2,0,0,0,3
"48","Tafea","whitesands",2,0,0,0,2
"49","Torba","gaua",2,0,0,0,1
"50","Torba","merelava",2,0,0,0,0
"51","Torba","mota",2,0,0,0,0
"52","Torba","motalava",2,0,0,0,0
"53","Torba","vanua lava",2,0,0,0,0
