"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,2,3,0
"2","Malampa","north ambrym",2,0,3,2,2
"3","Malampa","north east malekula",2,0,4,0,3
"4","Malampa","north west malekula",2,0,4,0,3
"5","Malampa","paama",2,0,4,0,0
"6","Malampa","south east ambrym",2,0,1,0,2
"7","Malampa","south east malekula",2,0,1,2,1
"8","Malampa","south malekula",2,0,4,1,1
"9","Malampa","south west malekula",2,0,0,1,1
"10","Malampa","west ambrym",2,0,2,0,1
"11","Penama","central pentecost 1",2,0,4,1,0
"12","Penama","central pentecost 2",2,0,3,0,2
"13","Penama","east ambae",2,0,2,1,3
"14","Penama","north ambae",2,0,2,2,3
"15","Penama","north maewo",2,0,1,2,0
"16","Penama","north pentecost",2,0,0,0,2
"17","Penama","south ambae",2,0,0,0,0
"18","Penama","south maewo",2,0,0,0,0
"19","Penama","south pentecost",2,0,1,1,1
"20","Penama","west ambae",2,0,0,2,3
"21","Sanma","canal - fanafo",2,0,0,4,1
"22","Sanma","east santo",2,0,2,1,2
"23","Sanma","luganville",1,0,2,3,3
"24","Sanma","north santo",2,0,2,2,1
"25","Sanma","north west santo",2,0,0,0,0
"26","Sanma","south east santo",2,0,3,2,1
"27","Sanma","south santo",2,0,4,2,2
"28","Sanma","west malo",2,0,1,1,3
"29","Sanma","west santo",2,0,1,3,0
"30","Shefa","erakor",2,0,1,3,2
"31","Shefa","eratap",2,0,0,0,0
"32","Shefa","eton",2,0,1,1,0
"33","Shefa","makimae",2,0,1,0,2
"34","Shefa","malorua",2,0,0,1,2
"35","Shefa","mele",2,0,0,1,1
"36","Shefa","nguna",2,0,3,0,0
"37","Shefa","north efate",2,0,0,1,1
"38","Shefa","north tongoa",2,0,0,0,0
"39","Shefa","pango",2,0,0,2,2
"40","Shefa","port vila",1,0,12,8,8
"41","Shefa","south epi",2,0,0,0,0
"42","Shefa","tongariki",2,0,1,1,0
"43","Shefa","varisu",2,0,3,0,2
"44","Shefa","vermali",2,0,6,3,2
"45","Tafea","aneityum",2,0,1,0,0
"46","Tafea","aniwa",2,0,1,0,0
"47","Tafea","middle bush tanna",2,0,0,0,1
"48","Tafea","north erromango",2,0,2,1,1
"49","Tafea","north tanna",2,0,0,0,2
"50","Tafea","south tanna",2,0,0,1,0
"51","Tafea","west tanna",2,0,0,1,2
"52","Tafea","whitesands",2,0,3,2,5
"53","Torba","gaua",2,0,0,1,0
"54","Torba","merelava",2,0,1,3,0
"55","Torba","mota",2,0,0,2,0
"56","Torba","motalava",2,0,0,1,1
"57","Torba","torres",2,0,1,0,0
"58","Torba","ureparapara",2,0,0,1,4
"59","Torba","vanua lava",2,0,0,7,1
