"","consumption__1","sex","area_council","urban_rural","age","population"
"1",NA,NA,"aneityum",2,NA,NA
"2",NA,"Female","aneityum",2,0,23
"3",NA,"Female","aneityum",2,1,24
"4",NA,"Female","aneityum",2,2,31
"5",NA,"Female","aneityum",2,3,25
"6",NA,"Female","aneityum",2,4,25
"7",NA,"Female","aneityum",2,5,21
"8",NA,"Female","aneityum",2,6,32
"9",NA,"Female","aneityum",2,7,22
"10",NA,"Female","aneityum",2,8,16
"11",NA,"Female","aneityum",2,9,22
"12",NA,"Female","aneityum",2,10,22
"13",NA,"Female","aneityum",2,11,22
"14",0,"Female","aneityum",2,12,16
"15",0,"Female","aneityum",2,13,14
"16",0,"Female","aneityum",2,14,17
"17",0,"Female","aneityum",2,15,13
"18",0,"Female","aneityum",2,16,18
"19",NA,"Female","aneityum",2,17,10
"20",0,"Female","aneityum",2,18,8
"21",0,"Female","aneityum",2,19,11
"22",0,"Female","aneityum",2,20,11
"23",0,"Female","aneityum",2,21,8
"24",0,"Female","aneityum",2,22,11
"25",0,"Female","aneityum",2,23,11
"26",0,"Female","aneityum",2,24,9
"27",0,"Female","aneityum",2,25,18
"28",0,"Female","aneityum",2,26,15
"29",0,"Female","aneityum",2,27,10
"30",0,"Female","aneityum",2,28,11
"31",0,"Female","aneityum",2,29,7
"32",0,"Female","aneityum",2,30,12
"33",0,"Female","aneityum",2,31,8
"34",0,"Female","aneityum",2,32,8
"35",0,"Female","aneityum",2,33,10
"36",0,"Female","aneityum",2,34,11
"37",0,"Female","aneityum",2,35,5
"38",0,"Female","aneityum",2,36,4
"39",1,"Female","aneityum",2,37,14
"40",0,"Female","aneityum",2,38,5
"41",0,"Female","aneityum",2,39,6
"42",0,"Female","aneityum",2,40,10
"43",1,"Female","aneityum",2,41,6
"44",0,"Female","aneityum",2,42,6
"45",0,"Female","aneityum",2,43,5
"46",0,"Female","aneityum",2,44,3
"47",0,"Female","aneityum",2,45,10
"48",0,"Female","aneityum",2,46,16
"49",0,"Female","aneityum",2,47,2
"50",0,"Female","aneityum",2,48,8
"51",0,"Female","aneityum",2,49,5
"52",0,"Female","aneityum",2,50,3
"53",0,"Female","aneityum",2,51,7
"54",0,"Female","aneityum",2,52,4
"55",0,"Female","aneityum",2,53,6
"56",1,"Female","aneityum",2,54,3
"57",0,"Female","aneityum",2,55,7
"58",0,"Female","aneityum",2,56,6
"59",0,"Female","aneityum",2,57,4
"60",0,"Female","aneityum",2,58,2
"61",0,"Female","aneityum",2,59,2
"62",0,"Female","aneityum",2,60,2
"63",0,"Female","aneityum",2,61,1
"64",0,"Female","aneityum",2,62,1
"65",0,"Female","aneityum",2,63,4
"66",0,"Female","aneityum",2,65,4
"67",0,"Female","aneityum",2,66,5
"68",0,"Female","aneityum",2,67,2
"69",0,"Female","aneityum",2,68,4
"70",0,"Female","aneityum",2,69,1
"71",0,"Female","aneityum",2,70,6
"72",0,"Female","aneityum",2,73,3
"73",0,"Female","aneityum",2,76,3
"74",0,"Female","aneityum",2,78,2
"75",0,"Female","aneityum",2,80,3
"76",0,"Female","aneityum",2,90,2
"77",NA,"Male","aneityum",2,0,17
"78",NA,"Male","aneityum",2,1,30
"79",NA,"Male","aneityum",2,2,19
"80",NA,"Male","aneityum",2,3,20
"81",NA,"Male","aneityum",2,4,18
"82",NA,"Male","aneityum",2,5,29
"83",NA,"Male","aneityum",2,6,20
"84",NA,"Male","aneityum",2,7,26
"85",NA,"Male","aneityum",2,8,20
"86",NA,"Male","aneityum",2,9,14
"87",NA,"Male","aneityum",2,10,23
"88",NA,"Male","aneityum",2,11,23
"89",0,"Male","aneityum",2,12,17
"90",0,"Male","aneityum",2,13,28
"91",NA,"Male","aneityum",2,14,23
"92",0,"Male","aneityum",2,15,20
"93",0,"Male","aneityum",2,16,25
"94",0,"Male","aneityum",2,17,15
"95",0,"Male","aneityum",2,18,10
"96",1,"Male","aneityum",2,19,10
"97",0,"Male","aneityum",2,20,7
"98",1,"Male","aneityum",2,21,9
