"","cause_of_diff_hearing","sex","age","population"
"1",NA,NA,NA,NA
"2",NA,"Female",0,3956
"3",NA,"Female",1,4017
"4",NA,"Female",2,4026
"5",NA,"Female",3,4164
"6",NA,"Female",4,4041
"7",NA,"Female",5,3938
"8",NA,"Female",6,3978
"9",NA,"Female",7,3897
"10",NA,"Female",8,3759
"11",NA,"Female",9,3338
"12",NA,"Female",10,3902
"13",NA,"Female",11,3360
"14",NA,"Female",12,3213
"15",NA,"Female",13,3156
"16",NA,"Female",14,3077
"17",NA,"Female",15,2984
"18",NA,"Female",16,3749
"19",NA,"Female",17,2562
"20",NA,"Female",18,2452
"21",NA,"Female",19,2357
"22",NA,"Female",20,2959
"23",NA,"Female",21,2502
"24",NA,"Female",22,2493
"25",NA,"Female",23,2472
"26",NA,"Female",24,2577
"27",NA,"Female",25,2623
"28",NA,"Female",26,2484
"29",NA,"Female",27,2465
"30",NA,"Female",28,2625
"31",NA,"Female",29,2220
"32",NA,"Female",30,2320
"33",NA,"Female",31,2158
"34",NA,"Female",32,2110
"35",NA,"Female",33,2220
"36",NA,"Female",34,2049
"37",NA,"Female",35,2026
"38",NA,"Female",36,1852
"39",NA,"Female",37,1687
"40",NA,"Female",38,1665
"41",NA,"Female",39,1271
"42",NA,"Female",40,1988
"43",NA,"Female",41,1542
"44",NA,"Female",42,1404
"45",NA,"Female",43,1325
"46",NA,"Female",44,1328
"47",NA,"Female",45,1555
"48",NA,"Female",46,1301
"49",NA,"Female",47,1252
"50",NA,"Female",48,1469
"51",NA,"Female",49,924
"52",NA,"Female",50,1302
"53",NA,"Female",51,1264
"54",NA,"Female",52,1130
"55",NA,"Female",53,922
"56",NA,"Female",54,912
"57",NA,"Female",55,870
"58",NA,"Female",56,1087
"59",NA,"Female",57,845
"60",NA,"Female",58,962
"61",NA,"Female",59,632
"62",NA,"Female",60,971
"63",NA,"Female",61,714
"64",NA,"Female",62,669
"65",NA,"Female",63,504
"66",NA,"Female",64,615
"67",NA,"Female",65,557
"68",NA,"Female",66,582
"69",NA,"Female",67,466
"70",NA,"Female",68,530
"71",NA,"Female",69,312
"72",NA,"Female",70,525
"73",NA,"Female",71,285
"74",NA,"Female",72,332
"75",NA,"Female",73,244
"76",NA,"Female",74,226
"77",NA,"Female",75,305
"78",NA,"Female",76,181
"79",NA,"Female",77,158
"80","Related to old age","Female",78,251
"81",NA,"Female",79,119
"82",NA,"Female",80,218
"83",NA,"Female",81,119
"84",NA,"Female",82,98
"85",NA,"Female",83,63
"86",NA,"Female",84,64
"87",NA,"Female",85,74
"88",NA,"Female",86,64
"89","Related to old age","Female",87,55
"90",NA,"Female",88,63
"91","Acquired","Female",89,44
"92",NA,"Female",90,71
"93","Related to old age","Female",91,17
"94","Related to old age","Female",92,33
"95","Related to old age","Female",93,15
"96","Acquired","Female",94,4
"97",NA,"Female",95,18
"98","Related to old age","Female",96,12
"99","Related to old age","Female",97,10
"100","Related to old age","Female",98,15
"101",NA,"Female",99,25
"102",NA,"Female",100,27
"103",NA,"Female",101,9
"104",NA,"Female",102,5
"105","Related to old age","Female",103,4
"106","Related to old age","Female",104,1
"107","Related to old age","Female",105,6
"108","Related to old age","Female",106,1
"109",NA,"Female",107,5
"110",NA,"Female",108,3
"111","Related to old age","Female",110,3
"112","Related to old age","Female",111,1
"113",NA,"Female",112,1
"114",NA,"Female",115,2
"115","Related to old age","Female",119,3
"116","Related to old age","Female",120,2
"117",NA,"Female",123,2
"118","Related to old age","Female",125,1
"119",NA,"Female",128,2
"120",NA,"Female",130,2
"121",NA,"Female",140,1
