"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,10,20,0
"2","Malampa","north ambrym",2,0,9,21,2
"3","Malampa","north east malekula",2,0,15,33,2
"4","Malampa","north west malekula",2,0,15,25,2
"5","Malampa","paama",2,0,7,15,1
"6","Malampa","south east ambrym",2,0,9,16,2
"7","Malampa","south east malekula",2,0,5,13,0
"8","Malampa","south malekula",2,0,17,19,2
"9","Malampa","south west malekula",2,0,1,7,1
"10","Malampa","west ambrym",2,0,14,12,0
"11","Penama","central pentecost 1",2,0,8,12,0
"12","Penama","central pentecost 2",2,0,10,13,0
"13","Penama","east ambae",2,0,4,13,0
"14","Penama","north ambae",2,0,3,8,1
"15","Penama","north maewo",2,0,6,5,0
"16","Penama","north pentecost",2,0,17,16,0
"17","Penama","south ambae",2,0,1,0,0
"18","Penama","south maewo",2,0,4,5,1
"19","Penama","south pentecost",2,0,17,23,1
"20","Penama","west ambae",2,0,7,9,2
"21","Sanma","canal - fanafo",2,0,7,18,0
"22","Sanma","east malo",2,0,10,15,0
"23","Sanma","east santo",2,0,10,29,0
"24","Sanma","luganville",1,0,19,39,3
"25","Sanma","north santo",2,0,3,18,0
"26","Sanma","north west santo",2,0,4,2,0
"27","Sanma","south east santo",2,0,12,13,0
"28","Sanma","south santo",2,0,25,27,1
"29","Sanma","west malo",2,0,7,7,0
"30","Sanma","west santo",2,0,15,11,1
"31","Shefa","emau",2,0,1,2,0
"32","Shefa","erakor",2,0,12,27,1
"33","Shefa","eratap",2,0,4,9,0
"34","Shefa","eton",2,0,5,10,0
"35","Shefa","ifira",2,0,1,3,0
"36","Shefa","makimae",2,0,2,5,0
"37","Shefa","malorua",2,0,2,8,0
"38","Shefa","mele",2,0,5,30,0
"39","Shefa","nguna",2,0,4,10,0
"40","Shefa","north efate",2,0,5,11,0
"41","Shefa","north tongoa",2,0,1,5,0
"42","Shefa","pango",2,0,0,9,0
"43","Shefa","port vila",1,0,36,81,5
"44","Shefa","south epi",2,0,1,6,0
"45","Shefa","tongariki",2,0,7,15,3
"46","Shefa","varisu",2,0,5,12,2
"47","Shefa","vermali",2,0,3,14,0
"48","Shefa","vermaul",2,0,0,1,0
"49","Tafea","aneityum",2,0,5,9,0
"50","Tafea","aniwa",2,0,1,0,0
"51","Tafea","middle bush tanna",2,0,8,6,1
"52","Tafea","north erromango",2,0,3,5,1
"53","Tafea","north tanna",2,0,3,2,2
"54","Tafea","south erromango",2,0,4,9,0
"55","Tafea","south tanna",2,0,7,4,0
"56","Tafea","south west tanna",2,0,6,8,0
"57","Tafea","west tanna",2,0,20,19,2
"58","Tafea","whitesands",2,0,45,29,1
"59","Torba","gaua",2,0,3,7,0
"60","Torba","merelava",2,0,3,5,0
"61","Torba","mota",2,0,7,9,0
"62","Torba","motalava",2,0,7,10,1
"63","Torba","torres",2,0,6,1,0
"64","Torba","ureparapara",2,0,0,4,1
"65","Torba","vanua lava",2,0,3,18,0
