"","remembering","sex","area_council","urban_rural","age_5yr_grp_80","population"
"1",NA,NA,"aneityum",2,NA,NA
"2",NA,"Female","aneityum",2," 0-4",129
"3","No, no difficulty","Female","aneityum",2," 5-9",112
"4","No, no difficulty","Female","aneityum",2,"10-14",91
"5","No, no difficulty","Female","aneityum",2,"15-19",60
"6","No, no difficulty","Female","aneityum",2,"20-24",52
"7","No, no difficulty","Female","aneityum",2,"25-29",61
"8","No, no difficulty","Female","aneityum",2,"30-34",49
"9","Yes, some difficulty","Female","aneityum",2,"35-39",35
"10","No, no difficulty","Female","aneityum",2,"40-44",31
"11","No, no difficulty","Female","aneityum",2,"45-49",41
"12","No, no difficulty","Female","aneityum",2,"50-54",23
"13","Yes, some difficulty","Female","aneityum",2,"55-60",22
"14","No, no difficulty","Female","aneityum",2,"60-64",8
"15","Yes, some difficulty","Female","aneityum",2,"65-69",17
"16","No, no difficulty","Female","aneityum",2,"70-74",9
"17","Yes, some difficulty","Female","aneityum",2,"75-79",4
"18","Yes, lots of difficulty","Female","aneityum",2,"80+",5
"19",NA,"Male","aneityum",2," 0-4",104
"20","No, no difficulty","Male","aneityum",2," 5-9",109
"21","No, no difficulty","Male","aneityum",2,"10-14",115
"22","No, no difficulty","Male","aneityum",2,"15-19",81
"23","No, no difficulty","Male","aneityum",2,"20-24",51
"24","No, no difficulty","Male","aneityum",2,"25-29",63
"25","No, no difficulty","Male","aneityum",2,"30-34",55
"26","Yes, some difficulty","Male","aneityum",2,"35-39",55
"27","No, no difficulty","Male","aneityum",2,"40-44",26
"28","No, no difficulty","Male","aneityum",2,"45-49",31
"29","No, no difficulty","Male","aneityum",2,"50-54",31
"30","No, no difficulty","Male","aneityum",2,"55-60",18
"31","Yes, some difficulty","Male","aneityum",2,"60-64",22
"32","No, no difficulty","Male","aneityum",2,"65-69",9
"33","No, no difficulty","Male","aneityum",2,"70-74",8
"34","Yes, lots of difficulty","Male","aneityum",2,"75-79",4
"35","No, no difficulty","Male","aneityum",2,"80+",6
"36",NA,"Female","aniwa",2," 0-4",41
"37","No, no difficulty","Female","aniwa",2," 5-9",39
"38","No, no difficulty","Female","aniwa",2,"10-14",24
"39","No, no difficulty","Female","aniwa",2,"15-19",21
"40","No, no difficulty","Female","aniwa",2,"20-24",20
"41","No, no difficulty","Female","aniwa",2,"25-29",15
"42","No, no difficulty","Female","aniwa",2,"30-34",13
"43","No, no difficulty","Female","aniwa",2,"35-39",14
"44","No, no difficulty","Female","aniwa",2,"40-44",13
"45","No, no difficulty","Female","aniwa",2,"45-49",15
"46","No, no difficulty","Female","aniwa",2,"50-54",12
"47","No, no difficulty","Female","aniwa",2,"55-60",12
"48","No, no difficulty","Female","aniwa",2,"60-64",12
"49","Yes, some difficulty","Female","aniwa",2,"65-69",5
"50","No, no difficulty","Female","aniwa",2,"70-74",4
"51","No, no difficulty","Female","aniwa",2,"75-79",1
"52","No, no difficulty","Female","aniwa",2,"80+",4
"53",NA,"Male","aniwa",2," 0-4",36
"54","No, no difficulty","Male","aniwa",2," 5-9",33
"55","No, no difficulty","Male","aniwa",2,"10-14",27
"56","No, no difficulty","Male","aniwa",2,"15-19",10
"57","No, no difficulty","Male","aniwa",2,"20-24",12
"58","No, no difficulty","Male","aniwa",2,"25-29",20
"59","No, no difficulty","Male","aniwa",2,"30-34",18
"60","No, no difficulty","Male","aniwa",2,"35-39",16
"61","No, no difficulty","Male","aniwa",2,"40-44",2
"62","No, no difficulty","Male","aniwa",2,"45-49",13
"63","No, no difficulty","Male","aniwa",2,"50-54",10
"64","No, no difficulty","Male","aniwa",2,"55-60",5
"65","No, no difficulty","Male","aniwa",2,"60-64",8
"66","No, no difficulty","Male","aniwa",2,"65-69",4
"67","No, no difficulty","Male","aniwa",2,"70-74",7
"68","No, no difficulty","Male","aniwa",2,"75-79",1
"69","Yes, some difficulty","Male","aniwa",2,"80+",3
"70",NA,"Female","canal - fanafo",2," 0-4",430
"71","No, no difficulty","Female","canal - fanafo",2," 5-9",373
"72","No, no difficulty","Female","canal - fanafo",2,"10-14",323
"73","No, no difficulty","Female","canal - fanafo",2,"15-19",260
"74","No, no difficulty","Female","canal - fanafo",2,"20-24",302
"75","No, no difficulty","Female","canal - fanafo",2,"25-29",239
"76","No, no difficulty","Female","canal - fanafo",2,"30-34",178
"77","Yes, some difficulty","Female","canal - fanafo",2,"35-39",146
"78","No, no difficulty","Female","canal - fanafo",2,"40-44",149
"79","No, no difficulty","Female","canal - fanafo",2,"45-49",110
"80","No, no difficulty","Female","canal - fanafo",2,"50-54",75
"81","No, no difficulty","Female","canal - fanafo",2,"55-60",52
"82","No, no difficulty","Female","canal - fanafo",2,"60-64",49
"83","No, no difficulty","Female","canal - fanafo",2,"65-69",46
"84","No, no difficulty","Female","canal - fanafo",2,"70-74",19
"85","No, no difficulty","Female","canal - fanafo",2,"75-79",15
"86","Yes, lots of difficulty","Female","canal - fanafo",2,"80+",17
"87",NA,"Male","canal - fanafo",2," 0-4",454
"88","No, no difficulty","Male","canal - fanafo",2," 5-9",387
"89","No, no difficulty","Male","canal - fanafo",2,"10-14",368
"90","No, no difficulty","Male","canal - fanafo",2,"15-19",281
"91","No, no difficulty","Male","canal - fanafo",2,"20-24",271
"92","No, no difficulty","Male","canal - fanafo",2,"25-29",284
"93","No, no difficulty","Male","canal - fanafo",2,"30-34",192
"94","No, no difficulty","Male","canal - fanafo",2,"35-39",179
"95","No, no difficulty","Male","canal - fanafo",2,"40-44",127
"96","No, no difficulty","Male","canal - fanafo",2,"45-49",144
"97","No, no difficulty","Male","canal - fanafo",2,"50-54",78
"98","No, no difficulty","Male","canal - fanafo",2,"55-60",65
"99","No, no difficulty","Male","canal - fanafo",2,"60-64",71
"100","No, no difficulty","Male","canal - fanafo",2,"65-69",58
"101","No, no difficulty","Male","canal - fanafo",2,"70-74",24
