"","seeing","sex","area_council","urban_rural","age","population"
"1",NA,NA,"aneityum",2,NA,NA
"2",NA,"Female","aneityum",2,0,23
"3",NA,"Female","aneityum",2,1,24
"4",NA,"Female","aneityum",2,2,31
"5",NA,"Female","aneityum",2,3,25
"6",NA,"Female","aneityum",2,4,25
"7","No, no difficulty","Female","aneityum",2,5,21
"8","No, no difficulty","Female","aneityum",2,6,32
"9","No, no difficulty","Female","aneityum",2,7,22
"10","No, no difficulty","Female","aneityum",2,8,16
"11","No, no difficulty","Female","aneityum",2,9,22
"12","No, no difficulty","Female","aneityum",2,10,22
"13","No, no difficulty","Female","aneityum",2,11,22
"14","No, no difficulty","Female","aneityum",2,12,16
"15","No, no difficulty","Female","aneityum",2,13,14
"16","No, no difficulty","Female","aneityum",2,14,17
"17","No, no difficulty","Female","aneityum",2,15,13
"18","No, no difficulty","Female","aneityum",2,16,18
"19",NA,"Female","aneityum",2,17,10
"20","No, no difficulty","Female","aneityum",2,18,8
"21","No, no difficulty","Female","aneityum",2,19,11
"22","No, no difficulty","Female","aneityum",2,20,11
"23","No, no difficulty","Female","aneityum",2,21,8
"24","No, no difficulty","Female","aneityum",2,22,11
"25","No, no difficulty","Female","aneityum",2,23,11
"26","Yes, some difficulty","Female","aneityum",2,24,9
"27","No, no difficulty","Female","aneityum",2,25,18
"28","No, no difficulty","Female","aneityum",2,26,15
"29","No, no difficulty","Female","aneityum",2,27,10
"30","No, no difficulty","Female","aneityum",2,28,11
"31","No, no difficulty","Female","aneityum",2,29,7
"32","No, no difficulty","Female","aneityum",2,30,12
"33","No, no difficulty","Female","aneityum",2,31,8
"34","No, no difficulty","Female","aneityum",2,32,8
"35","No, no difficulty","Female","aneityum",2,33,10
"36","No, no difficulty","Female","aneityum",2,34,11
"37","No, no difficulty","Female","aneityum",2,35,5
"38","No, no difficulty","Female","aneityum",2,36,4
"39","No, no difficulty","Female","aneityum",2,37,14
"40","No, no difficulty","Female","aneityum",2,38,5
"41","No, no difficulty","Female","aneityum",2,39,6
"42","No, no difficulty","Female","aneityum",2,40,10
"43","No, no difficulty","Female","aneityum",2,41,6
"44","No, no difficulty","Female","aneityum",2,42,6
"45","Yes, some difficulty","Female","aneityum",2,43,5
"46","No, no difficulty","Female","aneityum",2,44,3
"47","No, no difficulty","Female","aneityum",2,45,10
"48","No, no difficulty","Female","aneityum",2,46,16
"49","No, no difficulty","Female","aneityum",2,47,2
"50","No, no difficulty","Female","aneityum",2,48,8
"51","No, no difficulty","Female","aneityum",2,49,5
"52","Yes, some difficulty","Female","aneityum",2,50,3
"53","Yes, some difficulty","Female","aneityum",2,51,7
"54","Yes, some difficulty","Female","aneityum",2,52,4
"55","Yes, some difficulty","Female","aneityum",2,53,6
"56","No, no difficulty","Female","aneityum",2,54,3
"57","No, no difficulty","Female","aneityum",2,55,7
"58","Yes, some difficulty","Female","aneityum",2,56,6
"59","Yes, some difficulty","Female","aneityum",2,57,4
"60","Yes, some difficulty","Female","aneityum",2,58,2
"61","Yes, lots of difficulty","Female","aneityum",2,59,2
"62","Yes, lots of difficulty","Female","aneityum",2,60,2
"63","Yes, some difficulty","Female","aneityum",2,61,1
"64","Yes, some difficulty","Female","aneityum",2,62,1
"65","No, no difficulty","Female","aneityum",2,63,4
"66","No, no difficulty","Female","aneityum",2,65,4
"67","No, no difficulty","Female","aneityum",2,66,5
"68","Yes, some difficulty","Female","aneityum",2,67,2
"69","Yes, lots of difficulty","Female","aneityum",2,68,4
"70","Yes, some difficulty","Female","aneityum",2,69,1
"71","Yes, some difficulty","Female","aneityum",2,70,6
"72","Yes, some difficulty","Female","aneityum",2,73,3
"73","Yes, lots of difficulty","Female","aneityum",2,76,3
"74","Yes, lots of difficulty","Female","aneityum",2,78,2
"75","Yes, lots of difficulty","Female","aneityum",2,80,3
"76","Yes, lots of difficulty","Female","aneityum",2,90,2
"77",NA,"Male","aneityum",2,0,17
"78",NA,"Male","aneityum",2,1,30
"79",NA,"Male","aneityum",2,2,19
