"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,2,4,1
"2","Malampa","north ambrym",2,0,3,4,0
"3","Malampa","north east malekula",2,0,3,12,1
"4","Malampa","north west malekula",2,0,2,4,1
"5","Malampa","paama",2,0,0,4,0
"6","Malampa","south east ambrym",2,0,1,2,1
"7","Malampa","south east malekula",2,0,3,11,1
"8","Malampa","south malekula",2,0,1,9,0
"9","Malampa","south west malekula",2,0,4,4,0
"10","Malampa","west ambrym",2,0,0,4,0
"11","Penama","central pentecost 1",2,0,0,4,0
"12","Penama","central pentecost 2",2,0,2,5,0
"13","Penama","east ambae",2,0,0,2,0
"14","Penama","north ambae",2,0,2,3,0
"15","Penama","north maewo",2,0,1,2,0
"16","Penama","north pentecost",2,0,2,7,0
"17","Penama","south ambae",2,0,1,1,0
"18","Penama","south maewo",2,0,0,1,0
"19","Penama","south pentecost",2,0,0,4,0
"20","Penama","west ambae",2,0,0,4,0
"21","Sanma","canal - fanafo",2,0,2,9,2
"22","Sanma","east malo",2,0,2,9,0
"23","Sanma","east santo",2,0,2,15,0
"24","Sanma","luganville",1,0,11,26,2
"25","Sanma","north santo",2,0,1,8,0
"26","Sanma","north west santo",2,0,1,3,1
"27","Sanma","south east santo",2,0,3,19,0
"28","Sanma","south santo",2,0,8,23,1
"29","Sanma","west malo",2,0,2,6,0
"30","Sanma","west santo",2,0,1,11,0
"31","Shefa","emau",2,0,1,1,0
"32","Shefa","erakor",2,0,3,11,0
"33","Shefa","eratap",2,0,0,7,1
"34","Shefa","eton",2,0,1,7,2
"35","Shefa","ifira",2,0,0,5,0
"36","Shefa","makimae",2,0,0,2,1
"37","Shefa","malorua",2,0,1,5,1
"38","Shefa","mele",2,0,1,12,0
"39","Shefa","nguna",2,0,3,4,0
"40","Shefa","north efate",2,0,1,4,0
"41","Shefa","pango",2,0,1,0,0
"42","Shefa","port vila",1,0,10,50,4
"43","Shefa","south epi",2,0,1,1,0
"44","Shefa","tongariki",2,0,0,4,0
"45","Shefa","varisu",2,0,0,2,2
"46","Shefa","vermali",2,0,1,0,0
"47","Shefa","vermaul",2,0,0,1,0
"48","Tafea","aneityum",2,0,2,0,0
"49","Tafea","aniwa",2,0,0,3,0
"50","Tafea","futuna",2,0,1,7,0
"51","Tafea","middle bush tanna",2,0,0,10,0
"52","Tafea","north erromango",2,0,0,3,0
"53","Tafea","south erromango",2,0,0,1,0
"54","Tafea","south tanna",2,0,0,3,0
"55","Tafea","south west tanna",2,0,2,7,0
"56","Tafea","west tanna",2,0,4,8,4
"57","Tafea","whitesands",2,0,2,7,2
"58","Torba","gaua",2,0,1,7,1
"59","Torba","merelava",2,0,0,1,0
"60","Torba","motalava",2,0,0,2,0
"61","Torba","torres",2,0,0,3,0
"62","Torba","ureparapara",2,0,0,2,0
"63","Torba","vanua lava",2,0,0,11,0
