"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,17,8,2
"2","Malampa","north ambrym",2,0,11,14,3
"3","Malampa","north east malekula",2,0,18,22,2
"4","Malampa","north west malekula",2,0,20,8,1
"5","Malampa","paama",2,0,11,5,1
"6","Malampa","south east ambrym",2,0,10,9,2
"7","Malampa","south east malekula",2,0,2,11,0
"8","Malampa","south malekula",2,0,20,6,0
"9","Malampa","south west malekula",2,0,5,4,0
"10","Malampa","west ambrym",2,0,10,7,0
"11","Penama","central pentecost 1",2,0,12,6,0
"12","Penama","central pentecost 2",2,0,12,5,2
"13","Penama","east ambae",2,0,10,5,0
"14","Penama","north ambae",2,0,5,3,1
"15","Penama","north maewo",2,0,8,1,1
"16","Penama","north pentecost",2,0,11,8,1
"17","Penama","south ambae",2,0,0,0,0
"18","Penama","south maewo",2,0,2,6,1
"19","Penama","south pentecost",2,0,14,8,0
"20","Penama","west ambae",2,0,7,7,1
"21","Sanma","canal - fanafo",2,0,8,10,0
"22","Sanma","east malo",2,0,12,8,0
"23","Sanma","east santo",2,0,16,13,0
"24","Sanma","luganville",1,0,24,31,0
"25","Sanma","north santo",2,0,11,7,0
"26","Sanma","north west santo",2,0,4,0,0
"27","Sanma","south east santo",2,0,15,7,0
"28","Sanma","south santo",2,0,23,8,1
"29","Sanma","west malo",2,0,7,3,0
"30","Sanma","west santo",2,0,9,10,0
"31","Shefa","emau",2,0,1,2,0
"32","Shefa","erakor",2,0,17,17,0
"33","Shefa","eratap",2,0,5,9,0
"34","Shefa","eton",2,0,5,8,1
"35","Shefa","ifira",2,0,1,1,1
"36","Shefa","makimae",2,0,4,3,0
"37","Shefa","malorua",2,0,4,3,0
"38","Shefa","mele",2,0,8,31,0
"39","Shefa","nguna",2,0,7,4,0
"40","Shefa","north efate",2,0,9,6,0
"41","Shefa","north tongoa",2,0,1,2,0
"42","Shefa","pango",2,0,2,9,0
"43","Shefa","port vila",1,0,40,49,4
"44","Shefa","south epi",2,0,3,2,0
"45","Shefa","tongariki",2,0,9,10,1
"46","Shefa","varisu",2,0,10,4,3
"47","Shefa","vermali",2,0,7,5,1
"48","Shefa","vermaul",2,0,1,0,0
"49","Tafea","aneityum",2,0,10,1,0
"50","Tafea","aniwa",2,0,1,0,0
"51","Tafea","middle bush tanna",2,0,8,1,2
"52","Tafea","north erromango",2,0,3,4,0
"53","Tafea","north tanna",2,0,3,1,3
"54","Tafea","south erromango",2,0,7,4,0
"55","Tafea","south tanna",2,0,12,2,0
"56","Tafea","south west tanna",2,0,3,9,0
"57","Tafea","west tanna",2,0,25,10,1
"58","Tafea","whitesands",2,0,35,18,1
"59","Torba","gaua",2,0,4,4,0
"60","Torba","merelava",2,0,3,2,0
"61","Torba","mota",2,0,7,4,0
"62","Torba","motalava",2,0,10,6,1
"63","Torba","torres",2,0,6,0,0
"64","Torba","ureparapara",2,0,4,3,0
"65","Torba","vanua lava",2,0,11,6,0
