"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,4,4,0
"2","Malampa","north ambrym",2,0,0,3,1
"3","Malampa","north east malekula",2,0,1,3,1
"4","Malampa","north west malekula",2,0,0,1,0
"5","Malampa","paama",2,0,6,6,0
"6","Malampa","south east ambrym",2,0,0,1,0
"7","Malampa","south east malekula",2,0,0,5,0
"8","Malampa","south malekula",2,0,2,2,0
"9","Malampa","south west malekula",2,0,1,0,0
"10","Malampa","west ambrym",2,0,2,3,0
"11","Penama","central pentecost 1",2,0,0,2,0
"12","Penama","central pentecost 2",2,0,3,5,0
"13","Penama","east ambae",2,0,0,4,0
"14","Penama","north ambae",2,0,4,0,0
"15","Penama","north maewo",2,0,0,1,0
"16","Penama","north pentecost",2,0,1,9,0
"17","Penama","south ambae",2,0,0,0,0
"18","Penama","south pentecost",2,0,2,3,0
"19","Penama","west ambae",2,0,1,4,0
"20","Sanma","canal - fanafo",2,0,2,2,0
"21","Sanma","east malo",2,0,0,0,0
"22","Sanma","east santo",2,0,1,0,0
"23","Sanma","luganville",1,0,6,21,2
"24","Sanma","south east santo",2,0,1,2,0
"25","Sanma","south santo",2,0,1,4,0
"26","Sanma","west malo",2,0,1,0,1
"27","Sanma","west santo",2,0,1,0,0
"28","Shefa","erakor",2,0,1,11,0
"29","Shefa","eratap",2,0,1,1,0
"30","Shefa","eton",2,0,0,0,0
"31","Shefa","ifira",2,0,0,0,0
"32","Shefa","makimae",2,0,0,1,0
"33","Shefa","malorua",2,0,1,2,0
"34","Shefa","mele",2,0,2,7,1
"35","Shefa","nguna",2,0,1,2,0
"36","Shefa","north efate",2,0,0,2,0
"37","Shefa","north tongoa",2,0,0,0,0
"38","Shefa","pango",2,0,0,1,0
"39","Shefa","port vila",1,0,6,31,4
"40","Shefa","south epi",2,0,0,1,0
"41","Shefa","varisu",2,0,0,0,0
"42","Tafea","aneityum",2,0,1,0,0
"43","Tafea","middle bush tanna",2,0,0,16,1
"44","Tafea","north erromango",2,0,0,2,0
"45","Tafea","north tanna",2,0,1,0,0
"46","Tafea","south erromango",2,0,0,9,0
"47","Tafea","south west tanna",2,0,0,3,1
"48","Tafea","west tanna",2,0,4,6,1
"49","Tafea","whitesands",2,0,2,11,0
"50","Torba","gaua",2,0,0,1,0
"51","Torba","merelava",2,0,0,1,0
"52","Torba","motalava",2,0,1,0,1
"53","Torba","vanua lava",2,0,1,2,0
