"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,0,0,1
"2","Malampa","north ambrym",2,0,0,0,2
"3","Malampa","north east malekula",2,0,0,0,3
"4","Malampa","north west malekula",2,0,0,0,2
"5","Malampa","paama",2,0,0,0,1
"6","Malampa","south east ambrym",2,0,0,0,1
"7","Malampa","south east malekula",2,0,0,0,4
"8","Malampa","south malekula",2,0,0,0,1
"9","Malampa","south west malekula",2,0,0,0,2
"10","Malampa","west ambrym",2,0,0,0,0
"11","Penama","central pentecost 1",2,0,0,0,1
"12","Penama","central pentecost 2",2,0,0,0,1
"13","Penama","east ambae",2,0,0,0,1
"14","Penama","north ambae",2,0,0,0,2
"15","Penama","north maewo",2,0,0,0,0
"16","Penama","north pentecost",2,0,0,0,0
"17","Penama","south ambae",2,0,0,0,0
"18","Penama","south maewo",2,0,0,0,1
"19","Penama","south pentecost",2,0,0,0,1
"20","Penama","west ambae",2,0,0,0,6
"21","Sanma","canal - fanafo",2,0,0,0,3
"22","Sanma","east malo",2,0,0,0,1
"23","Sanma","east santo",2,0,0,0,3
"24","Sanma","luganville",1,0,0,0,12
"25","Sanma","north santo",2,0,0,0,2
"26","Sanma","north west santo",2,0,0,0,3
"27","Sanma","south east santo",2,0,0,0,0
"28","Sanma","south santo",2,0,0,0,4
"29","Sanma","west malo",2,0,0,0,0
"30","Sanma","west santo",2,0,0,0,2
"31","Shefa","emau",2,0,0,0,2
"32","Shefa","erakor",2,0,0,0,4
"33","Shefa","eratap",2,0,0,0,4
"34","Shefa","eton",2,0,0,0,3
"35","Shefa","ifira",2,0,0,0,1
"36","Shefa","makimae",2,0,0,0,2
"37","Shefa","malorua",2,0,0,0,5
"38","Shefa","mele",2,0,0,0,2
"39","Shefa","nguna",2,0,0,0,0
"40","Shefa","north efate",2,0,0,0,1
"41","Shefa","north tongoa",2,0,0,0,0
"42","Shefa","port vila",1,0,0,0,19
"43","Shefa","south epi",2,0,0,0,0
"44","Shefa","tongariki",2,0,0,0,5
"45","Shefa","varisu",2,0,0,0,2
"46","Shefa","vermali",2,0,0,0,0
"47","Shefa","vermaul",2,0,0,0,1
"48","Tafea","aniwa",2,0,0,0,1
"49","Tafea","futuna",2,0,0,0,6
"50","Tafea","middle bush tanna",2,0,0,0,4
"51","Tafea","north erromango",2,0,0,0,2
"52","Tafea","north tanna",2,0,0,0,1
"53","Tafea","south tanna",2,0,0,0,0
"54","Tafea","south west tanna",2,0,0,0,1
"55","Tafea","west tanna",2,0,0,0,9
"56","Tafea","whitesands",2,0,0,0,5
"57","Torba","gaua",2,0,0,0,0
"58","Torba","motalava",2,0,0,0,0
"59","Torba","torres",2,0,0,0,0
"60","Torba","ureparapara",2,0,0,0,0
"61","Torba","vanua lava",2,0,0,0,5
