"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,0,0,0
"2","Malampa","north ambrym",2,0,0,0,2
"3","Malampa","north east malekula",2,0,0,0,3
"4","Malampa","north west malekula",2,0,0,0,4
"5","Malampa","paama",2,0,0,0,1
"6","Malampa","south east ambrym",2,0,0,0,2
"7","Malampa","south east malekula",2,0,0,0,3
"8","Malampa","south malekula",2,0,0,0,1
"9","Malampa","south west malekula",2,0,0,0,4
"10","Malampa","west ambrym",2,0,0,0,1
"11","Penama","central pentecost 1",2,0,0,0,0
"12","Penama","central pentecost 2",2,0,0,0,2
"13","Penama","east ambae",2,0,0,0,7
"14","Penama","north ambae",2,0,0,0,4
"15","Penama","north maewo",2,0,0,0,1
"16","Penama","north pentecost",2,0,0,0,4
"17","Penama","south ambae",2,0,0,0,0
"18","Penama","south maewo",2,0,0,0,2
"19","Penama","south pentecost",2,0,0,0,3
"20","Penama","west ambae",2,0,0,0,5
"21","Sanma","canal - fanafo",2,0,0,0,2
"22","Sanma","east malo",2,0,0,0,4
"23","Sanma","east santo",2,0,0,0,4
"24","Sanma","luganville",1,0,0,0,8
"25","Sanma","north santo",2,0,0,0,1
"26","Sanma","north west santo",2,0,0,0,0
"27","Sanma","south east santo",2,0,0,0,1
"28","Sanma","south santo",2,0,0,0,2
"29","Sanma","west malo",2,0,0,0,6
"30","Sanma","west santo",2,0,0,0,0
"31","Shefa","emau",2,0,0,0,1
"32","Shefa","erakor",2,0,0,0,7
"33","Shefa","eratap",2,0,0,0,2
"34","Shefa","eton",2,0,0,0,0
"35","Shefa","ifira",2,0,0,0,1
"36","Shefa","makimae",2,0,0,0,2
"37","Shefa","malorua",2,0,0,0,1
"38","Shefa","mele",2,0,0,0,3
"39","Shefa","nguna",2,0,0,0,0
"40","Shefa","north efate",2,0,0,0,6
"41","Shefa","north tongoa",2,0,0,0,0
"42","Shefa","pango",2,0,0,0,2
"43","Shefa","port vila",1,0,0,0,19
"44","Shefa","south epi",2,0,0,0,0
"45","Shefa","tongariki",2,0,0,0,1
"46","Shefa","varisu",2,0,0,0,3
"47","Shefa","vermali",2,0,0,0,3
"48","Shefa","vermaul",2,0,0,0,2
"49","Tafea","aneityum",2,0,0,0,1
"50","Tafea","middle bush tanna",2,0,0,0,5
"51","Tafea","north erromango",2,0,0,0,1
"52","Tafea","north tanna",2,0,0,0,2
"53","Tafea","south erromango",2,0,0,0,0
"54","Tafea","south tanna",2,0,0,0,0
"55","Tafea","south west tanna",2,0,0,0,2
"56","Tafea","west tanna",2,0,0,0,6
"57","Tafea","whitesands",2,0,0,0,6
"58","Torba","gaua",2,0,0,0,1
"59","Torba","merelava",2,0,0,0,0
"60","Torba","mota",2,0,0,0,0
"61","Torba","motalava",2,0,0,0,1
"62","Torba","torres",2,0,0,0,1
"63","Torba","ureparapara",2,0,0,0,4
"64","Torba","vanua lava",2,0,0,0,1
