"","province","area_council","urban_rural","yesLotsofDifficulty","yesSomeDifficulty","noNoDifficulty","cannotDoAtAll"
"1","Malampa","central malekula",2,0,0,0,8
"2","Malampa","north ambrym",2,0,0,0,3
"3","Malampa","north east malekula",2,0,0,0,10
"4","Malampa","north west malekula",2,0,0,0,4
"5","Malampa","paama",2,0,0,0,1
"6","Malampa","south east ambrym",2,0,0,0,4
"7","Malampa","south east malekula",2,0,0,0,0
"8","Malampa","south malekula",2,0,0,0,8
"9","Malampa","south west malekula",2,0,0,0,5
"10","Malampa","west ambrym",2,0,0,0,3
"11","Penama","central pentecost 1",2,0,0,0,1
"12","Penama","central pentecost 2",2,0,0,0,3
"13","Penama","east ambae",2,0,0,0,6
"14","Penama","north ambae",2,0,0,0,7
"15","Penama","north maewo",2,0,0,0,1
"16","Penama","north pentecost",2,0,0,0,2
"17","Penama","south ambae",2,0,0,0,0
"18","Penama","south maewo",2,0,0,0,0
"19","Penama","south pentecost",2,0,0,0,5
"20","Penama","west ambae",2,0,0,0,1
"21","Sanma","canal - fanafo",2,0,0,0,1
"22","Sanma","east malo",2,0,0,0,2
"23","Sanma","east santo",2,0,0,0,5
"24","Sanma","luganville",1,0,0,0,8
"25","Sanma","north santo",2,0,0,0,1
"26","Sanma","north west santo",2,0,0,0,0
"27","Sanma","south east santo",2,0,0,0,1
"28","Sanma","south santo",2,0,0,0,3
"29","Sanma","west malo",2,0,0,0,5
"30","Sanma","west santo",2,0,0,0,0
"31","Shefa","emau",2,0,0,0,1
"32","Shefa","erakor",2,0,0,0,6
"33","Shefa","eratap",2,0,0,0,2
"34","Shefa","eton",2,0,0,0,0
"35","Shefa","ifira",2,0,0,0,0
"36","Shefa","makimae",2,0,0,0,1
"37","Shefa","malorua",2,0,0,0,1
"38","Shefa","mele",2,0,0,0,8
"39","Shefa","nguna",2,0,0,0,0
"40","Shefa","north efate",2,0,0,0,2
"41","Shefa","north tongoa",2,0,0,0,0
"42","Shefa","pango",2,0,0,0,2
"43","Shefa","port vila",1,0,0,0,15
"44","Shefa","south epi",2,0,0,0,0
"45","Shefa","tongariki",2,0,0,0,7
"46","Shefa","varisu",2,0,0,0,3
"47","Shefa","vermali",2,0,0,0,1
"48","Shefa","vermaul",2,0,0,0,0
"49","Tafea","aneityum",2,0,0,0,1
"50","Tafea","aniwa",2,0,0,0,0
"51","Tafea","middle bush tanna",2,0,0,0,1
"52","Tafea","north erromango",2,0,0,0,1
"53","Tafea","north tanna",2,0,0,0,1
"54","Tafea","south erromango",2,0,0,0,0
"55","Tafea","south tanna",2,0,0,0,0
"56","Tafea","south west tanna",2,0,0,0,1
"57","Tafea","west tanna",2,0,0,0,5
"58","Tafea","whitesands",2,0,0,0,4
"59","Torba","gaua",2,0,0,0,0
"60","Torba","merelava",2,0,0,0,0
"61","Torba","mota",2,0,0,0,0
"62","Torba","motalava",2,0,0,0,1
"63","Torba","torres",2,0,0,0,0
"64","Torba","ureparapara",2,0,0,0,3
"65","Torba","vanua lava",2,0,0,0,3
